ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2018-01-23,1353647.017254209,1536603.7775078092,1692930.1558705673,1353647.017254209,1353647.017254209,260364.37497216047,260364.37497216047,260364.37497216047,88702.12415671528,88702.12415671528,88702.12415671528,171662.25081544524,171662.25081544524,171662.25081544524,0.0,0.0,0.0,1614011.3922263694,1518613.4704363805
2018-01-24,1353895.6391913584,1538813.8843695212,1691778.5183753145,1353895.6391913584,1353895.6391913584,260854.16385246205,260854.16385246205,260854.16385246205,90823.28849106378,90823.28849106378,90823.28849106378,170030.87536139827,170030.87536139827,170030.87536139827,0.0,0.0,0.0,1614749.8030438204,1521397.509038759
2018-01-25,1354144.2611285078,1527869.990424288,1686318.7887780797,1354144.2611285078,1354144.2611285078,249381.4007907534,249381.4007907534,249381.4007907534,82070.98430791308,82070.98430791308,82070.98430791308,167310.41648284032,167310.41648284032,167310.41648284032,0.0,0.0,0.0,1603525.661919261,1522786.0315565031
2018-01-26,1354392.8830656572,1496220.2607161973,1652005.2372452677,1354392.8830656572,1354392.8830656572,216777.10581685934,216777.10581685934,216777.10581685934,53121.087573076045,53121.087573076045,53121.087573076045,163656.0182437833,163656.0182437833,163656.0182437833,0.0,0.0,0.0,1571169.9888825165,1522870.2257447527
2018-01-27,1354641.505002807,1295809.8339518078,1452491.3368741854,1354641.505002807,1354641.505002807,20407.838272574663,20407.838272574663,20407.838272574663,-138825.7819064445,-138825.7819064445,-138825.7819064445,159233.62017901917,159233.62017901917,159233.62017901917,0.0,0.0,0.0,1375049.3432753815,1521763.4343464028
2018-01-28,1354890.1269399563,1202680.9478724948,1357694.8799284664,1354890.1269399563,1354890.1269399563,-70746.76825628632,-70746.76825628632,-70746.76825628632,-224962.30253825273,-224962.30253825273,-224962.30253825273,154215.53428196642,154215.53428196642,154215.53428196642,0.0,0.0,0.0,1284143.35868367,1519597.5799070594
2018-01-29,1355138.7488771058,1468541.4262620485,1633680.9325929321,1355138.7488771058,1355138.7488771058,197846.63400380375,197846.63400380375,197846.63400380375,49070.599916330335,49070.599916330335,49070.599916330335,148776.03408747338,148776.03408747338,148776.03408747338,0.0,0.0,0.0,1552985.3828809096,1516519.2758445612
2018-01-30,1355387.3708142552,1504707.479649092,1663941.422067918,1355387.3708142552,1355387.3708142552,231789.1901557005,231789.1901557005,231789.1901557005,88702.12415671854,88702.12415671854,88702.12415671854,143087.0659989819,143087.0659989819,143087.0659989819,0.0,0.0,0.0,1587176.5609699558,1512685.7285222164
2018-01-31,1355635.9927514046,1506841.8443214966,1664641.382800031,1355635.9927514046,1355635.9927514046,228137.47555765114,228137.47555765114,228137.47555765114,90823.2884908432,90823.2884908432,90823.2884908432,137314.187066808,137314.187066808,137314.187066808,0.0,0.0,0.0,1583773.4683090558,1508260.5378458216
2018-02-01,1355884.6146885543,1496406.9569434028,1653761.7756559488,1355884.6146885543,1355884.6146885543,213683.80917903676,213683.80917903676,213683.80917903676,82070.98430799747,82070.98430799747,82070.98430799747,131612.82487103934,131612.82487103934,131612.82487103934,0.0,0.0,0.0,1569568.4238675912,1503409.50383844
2018-02-02,1356133.2366257038,1463597.2555640105,1614762.7339330167,1356133.2366257038,1356133.2366257038,179246.03184450342,179246.03184450342,179246.03184450342,53121.087572677345,53121.087572677345,53121.087572677345,126124.94427182605,126124.94427182605,126124.94427182605,0.0,0.0,0.0,1535379.2684702072,1498296.5437795387
2018-02-03,1356381.8586598618,1258967.6811658428,1415119.1799265665,1356381.8586598618,1356381.8586598618,-17849.589011241565,-17849.589011241565,-17849.589011241565,-138825.78190634836,-138825.78190634836,-138825.78190634836,120976.19289510677,120976.19289510677,120976.19289510677,0.0,0.0,0.0,1338532.2696486204,1493079.8189757157
2018-02-04,1356630.48069402,1166792.056877075,1326172.2365178443,1356630.48069402,1356630.48069402,-108688.71983151328,-108688.71983151328,-108688.71983151328,-224962.30253832068,-224962.30253832068,-224962.30253832068,116273.58270680738,116273.58270680738,116273.58270680738,0.0,0.0,0.0,1247941.7608625067,1487908.162144121
2018-02-05,1356879.102728178,1437306.4609730905,1600715.2515651577,1356879.102728178,1356879.102728178,161174.34922726615,161174.34922726615,161174.34922726615,49070.59991649774,49070.59991649774,49070.59991649774,112103.74931076843,112103.74931076843,112103.74931076843,0.0,0.0,0.0,1518053.4519554442,1482917.886297626
2018-02-06,1357127.7247623361,1470777.1998471671,1633074.0314558046,1357127.7247623361,1357127.7247623361,197233.93829419295,197233.93829419295,197233.93829419295,88702.12415664949,88702.12415664949,88702.12415664949,108531.81413754344,108531.81413754344,108531.81413754344,0.0,0.0,0.0,1554361.6630565291,1478230.043738565
2018-02-07,1357376.3467964942,1476609.985951487,1636202.3253311869,1357376.3467964942,1357376.3467964942,196424.14641818736,196424.14641818736,196424.14641818736,90823.28849094662,90823.28849094662,90823.28849094662,105600.8579272407,105600.8579272407,105600.8579272407,0.0,0.0,0.0,1553800.4932146815,1473948.1901536544
2018-02-08,1357624.9688306523,1462628.4571100802,1624780.4415646698,1357624.9688306523,1357624.9688306523,185402.98162528104,185402.98162528104,185402.98162528104,82070.98430808185,82070.98430808185,82070.98430808185,103331.9973171992,103331.9973171992,103331.9973171992,0.0,0.0,0.0,1543027.9504559333,1470156.6939519888
2018-02-09,1357873.5908648102,1440037.0733276445,1594843.2421875168,1357873.5908648102,1357873.5908648102,154846.1279414106,154846.1279414106,154846.1279414106,53121.08757305394,53121.08757305394,53121.08757305394,101725.04036835665,101725.04036835665,101725.04036835665,0.0,0.0,0.0,1512719.7188062207,1466919.6154285625
2018-02-10,1358122.2128989683,1238436.2745174975,1401646.163977617,1358122.2128989683,1358122.2128989683,-38066.09997347384,-38066.09997347384,-38066.09997347384,-138825.78190644606,-138825.78190644606,-138825.78190644606,100759.6819329722,100759.6819329722,100759.6819329722,0.0,0.0,0.0,1320056.1129254943,1464280.1644681157
2018-02-11,1358370.8349331263,1153558.8656379688,1311086.64068683,1358370.8349331263,1358370.8349331263,-124565.1162730822,-124565.1162730822,-124565.1162730822,-224962.30253838384,-224962.30253838384,-224962.30253838384,100397.1862653016,100397.1862653016,100397.1862653016,0.0,0.0,0.0,1233805.7186600443,1462260.7298677638
2018-02-12,1358619.4569672844,1426979.844762421,1590023.68673942,1358619.4569672844,1358619.4569672844,149653.09247002093,149653.09247002093,149653.09247002093,49070.59991625569,49070.59991625569,49070.59991625569,100582.49255376523,100582.49255376523,100582.49255376523,0.0,0.0,0.0,1508272.5494373054,1460863.4580794584
2018-02-13,1358868.0790014425,1475026.2457800487,1626213.331038494,1358868.0790014425,1358868.0790014425,189948.7935492833,189948.7935492833,189948.7935492833,88702.12415672511,88702.12415672511,88702.12415672511,101246.6693925582,101246.6693925582,101246.6693925582,0.0,0.0,0.0,1548816.872550726,1460071.3451500577
2018-02-14,1359116.7010356006,1473558.094293015,1632340.9058518813,1359116.7010356006,1359116.7010356006,193132.92533256466,193132.92533256466,193132.92533256466,90823.28849110984,90823.28849110984,90823.28849110984,102309.63684145483,102309.63684145483,102309.63684145483,0.0,0.0,0.0,1552249.6263681652,1459849.7927434128
2018-02-15,1359365.3230697587,1464564.8846785186,1616999.6720345693,1359365.3230697587,1359365.3230697587,185754.05410847164,185754.05410847164,185754.05410847164,82070.98430785192,82070.98430785192,82070.98430785192,103683.0698006197,103683.0698006197,103683.0698006197,0.0,0.0,0.0,1545119.3771782303,1460148.5679894553
2018-02-16,1359613.9451039166,1438316.43765705,1599011.2834480463,1359613.9451039166,1359613.9451039166,158394.48161545192,158394.48161545192,158394.48161545192,53121.08757288893,53121.08757288893,53121.08757288893,105273.39404256303,105273.39404256303,105273.39404256303,0.0,0.0,0.0,1518008.4267193684,1460904.0976913334
2018-02-17,1359862.567138075,1249772.526407591,1409607.9113638864,1359862.567138075,1359862.567138075,-31840.995499511006,-31840.995499511006,-31840.995499511006,-138825.78190674528,-138825.78190674528,-138825.78190674528,106984.78640723425,106984.78640723425,106984.78640723425,0.0,0.0,0.0,1328021.5716385639,1462042.020364629
2018-02-18,1360111.1891722328,1162801.962112729,1317925.2913084582,1360111.1891722328,1360111.1891722328,-116240.2092139052,-116240.2092139052,-116240.2092139052,-224962.30253818815,-224962.30253818815,-224962.30253818815,108722.09332428296,108722.09332428296,108722.09332428296,0.0,0.0,0.0,1243870.9799583275,1463479.9148358125
2018-02-19,1360359.8112063908,1440571.9124664578,1603674.4383356473,1360359.8112063908,1360359.8112063908,159464.18676606077,159464.18676606077,159464.18676606077,49070.59991598198,49070.59991598198,49070.59991598198,110393.58685007878,110393.58685007878,110393.58685007878,0.0,0.0,0.0,1519823.9979724516,1465130.1217694047
2018-02-20,1360608.433240549,1476901.9864673612,1638248.1175011976,1360608.433240549,1360608.433240549,200615.60876211678,200615.60876211678,200615.60876211678,88702.12415669237,88702.12415669237,88702.12415669237,111913.48460542448,111913.48460542448,111913.48460542448,0.0,0.0,0.0,1561224.0420026658,1466902.5745482536
2018-02-21,1360857.055274707,1488659.702673566,1648944.6907822478,1360857.055274707,1360857.055274707,204027.45761459976,204027.45761459976,204027.45761459976,90823.28849105125,90823.28849105125,90823.28849105125,113204.16912354853,113204.16912354853,113204.16912354853,0.0,0.0,0.0,1564884.5128893068,1468707.5583369876
