date,year,month,season,weekday,consumption_mwh
2019-04-21,2019,4,Spring,Sunday,943261.0
2020-04-12,2020,4,Spring,Sunday,944117.0
2020-05-31,2020,5,Spring,Sunday,947675.0
2020-06-01,2020,6,Summer,Monday,965528.0
2020-06-21,2020,6,Summer,Sunday,976772.0
2020-07-12,2020,7,Summer,Sunday,980552.0
2020-05-03,2020,5,Spring,Sunday,986299.0
2020-08-02,2020,8,Summer,Sunday,988237.0
2020-05-10,2020,5,Spring,Sunday,990281.0
2020-04-13,2020,4,Spring,Monday,993448.0
